GTHR	ui8 	1	0.0
HBKP	ch8*	32	0000000000000000
HBKT	ui32	4	345600.0
HBKU	ch8*	32	0000000000000000
HC0N	ui8 	1	15.0
HC0T	ui8 	1	26.0
HE0N	ui8 	1	16.0
HE0T	ui8 	1	0.0
HE1N	ui8 	1	0.0
HE1T	ui8 	1	0.0
HI0N	ui8 	1	19.0
HI0T	ui8 	1	0.0
HI1N	ui8 	1	0.0
HI1T	ui8 	1	0.0
HNVD	ui16	2	0.0
IA8C	flt 	4	0.0
IAPC	flt 	4	0.0
IBAC	sp78	2	0.13671875
IBAF	sp78	2	0.203125
IBLR	flt 	4	0.0
IBSC	flt 	4	0.1471307873725891
IC0R	flt 	4	2.63222599029541
ICAC	flt 	4	0.0
ICIC	flt 	4	0.0
ICSC	flt 	4	0.0
ICTC	flt 	4	0.0
ID0R	flt 	4	3.889449119567871
IG0C	flt 	4	0.0
IG0R	flt 	4	1.8642585277557373
IG1C	flt 	4	0.0
IG2C	flt 	4	0.0
IG3C	flt 	4	0.0
IG4C	flt 	4	0.0
IG5C	flt 	4	0.0
IG6C	flt 	4	0.0
IH0C	flt 	4	0.01818849891424179
IH0R	flt 	4	0.007620665244758129
IH1C	flt 	4	0.00703106913715601
IH1R	flt 	4	0.005216166842728853
IKBC	flt 	4	0.0
ILDC	flt 	4	0.0
IM0C	flt 	4	3.3955986499786377
IM1C	flt 	4	0.0
IMCC	flt 	4	0.0
IO5R	flt 	4	0.26812177896499634
IOLR	flt 	4	0.12859737873077393
IORR	flt 	4	0.20110104978084564
IPBR	flt 	4	0.12503817677497864
IPBd	flt 	4	200.0
IPBu	flt 	4	1.0
ISLC	flt 	4	0.2681615352630615
IULC	flt 	4	0.0
IURC	flt 	4	0.0
KDD0	hex_	32	b6864cbc2460dd8e
KDD1	hex_	32	a90e000000004f3d
KDTP	ui8 	1	1.0
KINC	ui16	2	23.0
KINV	ch8*	4	4d534457
KINX	hex_	4	4d534457
LCAD	ui8 	1	1.0
LCAE	ui8 	1	0.0
LCFS	ui16	2	0.0
LCRC	ui16	2	0.0
LCSA	ui8 	1	22.0
